;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;COLE_JORNADA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
158;Estrato 1;RISARALDA;UNICA;47.57331571994716;50.55878467635403;46.459709379128135;51.99471598414795;47.837516512549534;246.29326287978864
159;Estrato 1;SAN ANDRES;COMPLETA;42.8;46.0;44.8;49.6;38.2;221.0
160;Estrato 1;SAN ANDRES;MAÑANA;45.13008130081301;47.86178861788618;50.6260162601626;51.40650406504065;46.260162601626014;239.4308943089431
161;Estrato 1;SAN ANDRES;NOCHE;37.75;43.833333333333336;40.666666666666664;44.166666666666664;39.666666666666664;206.5
162;Estrato 1;SAN ANDRES;SABATINA;28.0;31.0;27.0;35.0;28.0;151.0
163;Estrato 1;SAN ANDRES;TARDE;39.125;35.0;42.625;44.625;42.625;202.625
164;Estrato 1;SAN ANDRES;UNICA;37.58974358974359;41.91025641025641;49.782051282051285;46.03846153846154;40.06410256410256;210.25641025641025
165;Estrato 1;SANTANDER;COMPLETA;49.20025510204081;55.18941326530612;47.78316326530612;53.52040816326531;51.889668367346935;260.43558673469386
166;Estrato 1;SANTANDER;MAÑANA;49.202002983166416;54.85957809503516;47.694438525463454;54.19049648412529;51.24611122949073;260.0733006605583
167;Estrato 1;SANTANDER;NOCHE;41.74102285092492;45.318824809575624;40.80957562568009;47.388465723612626;43.19695321001088;220.68552774755167
168;Estrato 1;SANTANDER;SABATINA;40.580530973451324;44.5858407079646;40.54867256637168;46.6212389380531;42.52743362831858;216.7221238938053
169;Estrato 1;SANTANDER;TARDE;48.73170731707317;53.69853658536585;47.586341463414634;53.745365853658534;50.934634146341466;257.2829268292683
170;Estrato 1;SANTANDER;UNICA;49.62861610633307;54.08209538702111;46.4120406567631;53.885848318999216;50.71853010164191;258.21735731039877
171;Estrato 1;SUCRE;COMPLETA;56.44444444444444;59.333333333333336;55.666666666666664;59.333333333333336;57.111111111111114;289.3333333333333
172;Estrato 1;SUCRE;MAÑANA;45.40120396600567;49.17404390934844;44.75017705382436;50.74256373937677;47.804001416430594;240.0435552407932
173;Estrato 1;SUCRE;NOCHE;39.651898734177216;42.11392405063291;40.29746835443038;45.70253164556962;40.72784810126582;209.56962025316454
174;Estrato 1;SUCRE;SABATINA;35.96601941747573;39.33495145631068;36.13106796116505;42.55825242718446;38.33009708737864;194.10679611650485
175;Estrato 1;SUCRE;TARDE;45.76978417266187;50.18824940047961;45.460431654676256;51.04796163069545;48.24820143884892;242.78657074340526
176;Estrato 1;SUCRE;UNICA;48.26319816373374;52.12547819433818;47.238714613618974;53.5256312165264;50.15990818668707;253.64039785768935
177;Estrato 1;TOLIMA;COMPLETA;51.559322033898304;54.28813559322034;53.28813559322034;55.983050847457626;52.05084745762712;267.29661016949154
178;Estrato 1;TOLIMA;MAÑANA;45.00858369098712;49.184855916615575;44.571122011036174;50.34488044144697;46.83660331085224;237.95830778663398
179;Estrato 1;TOLIMA;NOCHE;39.829268292682926;41.40921409214092;38.829268292682926;45.330623306233065;40.292682926829265;207.46612466124662
180;Estrato 1;TOLIMA;SABATINA;39.89185393258427;41.973314606741575;39.09129213483146;45.48876404494382;40.85674157303371;209.1123595505618
181;Estrato 1;TOLIMA;TARDE;43.636971046770604;47.42984409799555;44.29621380846325;49.00445434298441;45.85968819599109;231.55679287305122
182;Estrato 1;TOLIMA;UNICA;45.51338107802488;49.13871089332831;44.225782133433846;50.35054655107425;46.79683377308707;238.31360723709008
183;Estrato 1;VALLE;COMPLETA;52.22826086956522;55.54891304347826;52.182065217391305;56.505434782608695;53.45923913043478;271.3070652173913
184;Estrato 1;VALLE;MAÑANA;46.64633407392446;49.85528176126035;46.0651383558877;51.94607150070693;47.650979600080795;243.9813169056756
185;Estrato 1;VALLE;NOCHE;39.037204058624575;40.7587373167982;39.41939120631341;44.8184892897407;39.89402480270575;204.9718151071026
186;Estrato 1;VALLE;SABATINA;38.81718963165075;40.21418826739427;38.470668485675304;43.946793997271484;39.50477489768076;202.2673942701228
187;Estrato 1;VALLE;TARDE;46.07216494845361;49.05761067313524;45.747119466343236;51.54517889630079;46.845967252880534;240.87992722862342
188;Estrato 1;VALLE;UNICA;45.97449220595182;49.09211147850732;45.39017477562589;51.26547000472367;46.85829003306566;240.3793103448276
189;Estrato 1;VAUPES;MAÑANA;44.497142857142855;46.8;43.794285714285714;48.182857142857145;44.49142857142857;229.09714285714287
190;Estrato 1;VAUPES;NOCHE;37.81818181818182;38.5;40.72727272727273;41.59090909090909;39.63636363636363;197.45454545454547
191;Estrato 1;VICHADA;COMPLETA;47.09090909090909;51.49650349650349;42.99300699300699;52.6013986013986;47.65034965034965;245.95104895104896
192;Estrato 1;VICHADA;MAÑANA;46.029411764705884;49.23529411764706;44.18627450980392;50.6764705882353;48.549019607843135;241.37254901960785
193;Estrato 1;VICHADA;NOCHE;40.35294117647059;41.205882352941174;38.411764705882355;43.470588235294116;41.529411764705884;206.91176470588235
194;Estrato 1;VICHADA;SABATINA;33.0;45.0;38.0;44.0;47.0;210.0
195;Estrato 1;VICHADA;UNICA;45.26829268292683;50.5609756097561;42.0;50.073170731707314;45.390243902439025;236.9512195121951
196;Estrato 2;AMAZONAS;COMPLETA;34.130434782608695;36.34782608695652;37.0;38.69565217391305;35.52173913043478;181.2608695652174
197;Estrato 2;AMAZONAS;MAÑANA;46.766129032258064;50.58064516129032;47.774193548387096;51.45967741935484;48.725806451612904;246.31451612903226
