;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENEINTERNET;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
117;Estrato 2;NORTE SANTANDER;No;46.34732587064676;51.82120646766169;46.338619402985074;51.6318407960199;49.12251243781095;247.34546019900498
118;Estrato 2;NORTE SANTANDER;Si;50.78974053086788;56.21846107963018;51.3705636743215;55.73665374291679;52.71577691619445;268.37130927527585
119;Estrato 2;PUTUMAYO;No;43.04516129032258;48.193548387096776;43.608602150537635;48.744086021505375;45.60215053763441;230.91827956989246
120;Estrato 2;PUTUMAYO;Si;48.674521354933724;53.39469808541973;48.74521354933726;53.19293078055965;50.40648011782032;256.0427098674521
121;Estrato 2;QUINDIO;No;45.40773480662983;49.23977900552486;45.69613259668508;50.914917127071824;46.58011049723757;239.26408839779006
122;Estrato 2;QUINDIO;Si;49.417397660818715;53.03472222222222;49.80921052631579;54.02777777777778;50.15899122807018;257.5921052631579
123;Estrato 2;RISARALDA;No;44.996345919610235;48.27222898903776;45.2551766138855;50.67235079171742;46.557247259439706;237.21437271619976
124;Estrato 2;RISARALDA;Si;49.144666666666666;52.466;49.88622222222222;53.94222222222222;50.096666666666664;256.4737777777778
125;Estrato 2;SAN ANDRES;No;42.175097276264594;44.4124513618677;53.46692607003891;48.21011673151751;42.69260700389105;225.3385214007782
126;Estrato 2;SAN ANDRES;Si;45.45751633986928;48.07843137254902;55.1764705882353;51.16339869281046;45.77777777777778;240.98692810457516
127;Estrato 2;SANTANDER;No;48.04875;53.4705;46.7825;53.242;50.196;254.48625
128;Estrato 2;SANTANDER;Si;51.497930338213024;56.3557799091368;50.93397274103988;56.16577486118122;52.9459868753155;269.9346794548208
129;Estrato 2;SUCRE;No;43.025061124694375;47.251833740831295;43.757334963325185;49.31479217603912;45.98105134474328;230.94498777506112
130;Estrato 2;SUCRE;Si;50.08812729498164;53.93757649938801;50.51774785801714;55.09506323949408;51.86046511627907;262.86209710322316
131;Estrato 2;TOLIMA;No;43.87210554658051;47.727517501346256;43.694668820678515;49.38987614431879;45.61631663974152;232.11739364566506
132;Estrato 2;TOLIMA;Si;48.388004584235325;51.95110148987648;48.60690182096014;53.209474086336435;49.56755380109512;253.06558003310838
133;Estrato 2;VALLE;No;45.066779732881066;48.413822344710624;45.26733093067628;50.660377358490564;46.440958236167056;237.312274750901
134;Estrato 2;VALLE;Si;49.07521265482764;52.21747997811272;49.82788638511665;54.03666119484654;50.00900363129881;256.0904840073621
135;Estrato 2;VAUPES;No;45.578947368421055;46.13157894736842;42.71052631578947;48.13157894736842;43.1578947368421;227.57894736842104
136;Estrato 2;VAUPES;Si;40.46666666666667;42.8;39.13333333333333;45.333333333333336;40.6;210.33333333333334
137;Estrato 2;VICHADA;No;43.87096774193548;49.494623655913976;44.32258064516129;49.67741935483871;45.55913978494624;234.66666666666666
138;Estrato 2;VICHADA;Si;46.80392156862745;49.05882352941177;46.88235294117647;52.450980392156865;46.88235294117647;243.2549019607843
139;Estrato 3;AMAZONAS;No;46.13913043478261;47.93913043478261;46.834782608695654;51.130434782608695;46.78260869565217;239.58260869565217
140;Estrato 3;AMAZONAS;Si;49.73809523809524;55.666666666666664;51.0;54.214285714285715;51.07142857142857;262.6666666666667
141;Estrato 3;ANTIOQUIA;No;43.957231472412666;47.14626183480248;44.059418870388505;49.65230166503428;44.418870388508;230.6088801828273
142;Estrato 3;ANTIOQUIA;Si;51.11629123239568;53.6964772684822;52.21666853449886;55.73801785647577;50.59228958870335;263.707348051851
143;Estrato 3;ARAUCA;No;42.23376623376623;48.04545454545455;43.44805194805195;47.52597402597402;45.83766233766234;228.61688311688312
144;Estrato 3;ARAUCA;Si;47.01171875;52.85546875;48.8046875;52.91015625;48.93359375;251.5078125
145;Estrato 3;ATLANTICO;No;41.63406408094435;45.96037099494098;43.95868465430017;47.692242833052276;43.94519392917369;223.71163575042158
146;Estrato 3;ATLANTICO;Si;50.791837933059305;54.45977686435702;54.52613035819142;55.838079859072224;51.85687022900763;266.674398120963
147;Estrato 3;BOGOTA;No;45.52;47.36;46.98;51.58;45.78;237.6
148;Estrato 3;BOGOTA;Si;51.36806722689076;53.831932773109244;56.7546218487395;55.54117647058823;52.391596638655464;267.74957983193275
149;Estrato 3;BOGOTÁ;No;47.80444646098004;51.95644283121597;49.05127041742287;53.03448275862069;49.03402903811252;251.739110707804
150;Estrato 3;BOGOTÁ;Si;53.822163870428035;57.31400752893061;56.00285820514012;57.57712506390296;54.265766603151;278.82281451875264
151;Estrato 3;BOLIVAR;No;38.99265197060788;43.17434869739479;40.52371409485638;45.1563126252505;41.41349365397462;210.27989311957248
152;Estrato 3;BOLIVAR;Si;49.49503311258278;52.6371412803532;51.71136865342164;54.561258278145694;50.309878587196465;258.73951434878586
153;Estrato 3;BOYACA;No;46.574578469520105;51.75486381322957;47.26070038910506;51.5810635538262;48.80544747081712;247.47730220492866
154;Estrato 3;BOYACA;Si;54.65457184325109;58.88156748911466;55.44731494920174;58.04383164005805;55.33788098693759;283.1535558780842
155;Estrato 3;CALDAS;No;43.831663326653306;47.545090180360724;45.46092184368737;49.833667334669336;46.00801603206413;233.49899799599197
156;Estrato 3;CALDAS;Si;52.26559865092749;55.61045531197302;53.10623946037099;56.31141090500281;53.329398538504776;271.39797639123105
157;Estrato 3;CAQUETA;No;43.23684210526316;47.39473684210526;44.046052631578945;48.401315789473685;45.30921052631579;229.6315789473684
158;Estrato 3;CAQUETA;Si;48.77405857740586;52.34309623430963;49.14435146443515;53.2510460251046;49.42050209205021;254.0481171548117
159;Estrato 3;CASANARE;No;44.244565217391305;49.42934782608695;45.19021739130435;49.79347826086956;45.94021739130435;235.91304347826087
160;Estrato 3;CASANARE;Si;50.534979423868315;55.31001371742113;52.251028806584365;55.27846364883402;51.59396433470508;265.53772290809326
