ANIO;FAMI_EDUCACION;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL;PADRE
20172;Primaria completa;48.621383324773156;47.0428650915939;51.6855632597158;50.09707241910632;247.7358757062147;papa
20172;Primaria incompleta;47.30518563123886;45.996722792227345;50.93642448525836;49.27845843852051;243.13121569354055;papa
20172;Secundaria (Bachillerato) completa;51.51213024388681;50.58600134602442;54.3007296306979;52.34286233161341;261.05932121911354;papa
20172;Secundaria (Bachillerato) incompleta;50.05444620025858;48.915736883270284;52.989465115165444;51.1178151287331;254.1187409216428;papa
20172;Técnica o tecnológica completa;55.321381873236525;54.660862982588945;57.45574977634024;55.58395843369348;278.7659830706765;papa
20172;Técnica o tecnológica incompleta;53.135270541082164;52.35727009574705;55.839122689824094;53.20708082832331;268.35270541082167;papa
20181;Educación profesional completa;65.5607822410148;73.27167019027485;65.41041226215644;64.45454545454545;327.1075581395349;papa
20181;Educación profesional incompleta;63.74242424242424;69.33080808080808;64.95454545454545;62.898989898989896;320.5858585858586;papa
20181;Ninguno;55.71739130434783;61.56521739130435;58.54347826086956;54.73913043478261;282.32608695652175;papa
20181;No Aplica;64.52380952380952;69.01587301587301;64.85714285714286;62.492063492063494;320.3333333333333;papa
20181;No sabe;61.46138996138996;67.33204633204633;62.6061776061776;60.96911196911197;308.0096525096525;papa
20181;Postgrado;70.87494806813461;80.01744910677192;69.31117573743249;69.13169921063565;351.93518903199003;papa
20181;Primaria completa;55.136054421768705;57.843537414965986;57.74149659863946;55.65986394557823;278.3333333333333;papa
20181;Primaria incompleta;53.80110497237569;56.27624309392265;56.51933701657459;53.90055248618785;273.23204419889504;papa
20181;Secundaria (Bachillerato) completa;58.20981132075472;62.16603773584906;60.46188679245283;58.23698113207547;294.01509433962264;papa
20181;Secundaria (Bachillerato) incompleta;58.8;62.7;60.71636363636364;58.161818181818184;295.04727272727274;papa
20181;Técnica o tecnológica completa;59.981770833333336;63.24609375;61.6875;59.877604166666664;301.8411458333333;papa
20181;Técnica o tecnológica incompleta;59.06930693069307;62.0;60.34653465346535;58.18316831683168;294.88613861386136;papa
20182;Educación profesional completa;57.025059822766835;59.53653790528281;58.39343658786716;55.84630150674485;284.1268505614137;papa
20182;Educación profesional incompleta;56.85491265022922;58.37492256225994;58.5555693222649;55.52186841779209;283.50315945979435;papa
20182;Ninguno;42.83426588285289;43.42842977547985;46.8249167788087;43.2629789645159;218.65684538565054;papa
20182;No Aplica;52.30779691749773;52.18427017225748;54.580462375339984;51.46917497733454;261.16953762466;papa
20182;No sabe;51.85518641565153;52.692137320044296;53.98582502768549;51.23296419342931;258.7548172757475;papa
20182;Postgrado;64.33411519416211;68.44683346364347;64.13382851185823;62.326166275736256;318.73638259056554;papa
20182;Primaria completa;48.894255761566455;48.072799341535266;50.923583434413445;48.25647634725351;242.84292150407208;papa
20182;Primaria incompleta;47.59278955475684;46.8795691826206;50.1028509254505;47.23174160737426;237.73278075258563;papa
20182;Secundaria (Bachillerato) completa;51.63553105787577;51.847858808564766;53.70946576213695;50.722259910960354;256.8240937036252;papa
20182;Secundaria (Bachillerato) incompleta;50.060945567441706;49.87146087132589;52.20860189653427;49.22469881550973;248.85246178247223;papa
20182;Técnica o tecnológica completa;55.264128983671654;55.930886933899295;56.958990860233456;54.21000924246055;275.0260158148769;papa
20182;Técnica o tecnológica incompleta;53.40407148775003;53.90472245236123;55.483607527518046;52.15800686471772;265.9622440525506;papa
20191;Educación profesional completa;64.92582025677603;71.40156918687589;64.05325725154542;62.28934854969092;319.2194484070376;papa
20191;Educación profesional incompleta;61.3009009009009;65.18738738738739;62.07027027027027;59.25765765765766;303.4594594594595;papa
20191;Ninguno;40.160919540229884;40.77394636015325;45.68199233716475;40.90421455938697;209.8582375478927;papa
20191;No Aplica;56.50595238095238;59.25595238095238;57.99404761904762;56.232142857142854;283.0654761904762;papa
20191;No sabe;56.430155210643015;59.59756097560975;57.668514412416854;55.15410199556541;279.7217294900222;papa
20191;Postgrado;70.71711509715993;78.9398355754858;68.68086696562033;67.42600896860986;347.13714499252615;papa
20191;Primaria completa;47.72757475083056;46.77906976744186;50.83720930232558;46.60299003322259;237.77740863787375;papa
20191;Primaria incompleta;44.77483443708609;43.85808893093661;48.406811731315045;44.359508041627244;226.15610217596972;papa
20191;Secundaria (Bachillerato) completa;53.259002169197394;54.8117136659436;54.8468546637744;51.353145336225595;262.61041214750543;papa
20191;Secundaria (Bachillerato) incompleta;51.14558058925476;52.00433275563258;53.31195840554593;49.418544194107454;253.18110918544195;papa
20191;Técnica o tecnológica completa;58.0625;60.09325396825397;58.49900793650794;55.89384920634921;285.0059523809524;papa
20191;Técnica o tecnológica incompleta;54.92439862542955;57.52577319587629;57.18213058419244;52.982817869415804;273.2817869415808;papa
20192;Educación profesional completa;57.25277312683131;57.82633947258267;57.951758057764756;54.57466513185433;279.38266534114695;papa
20192;Educación profesional incompleta;56.84108761329305;56.36084592145015;57.66344410876133;53.890876132930515;276.907915407855;papa
20192;Ninguno;43.50252894982031;40.54419007054439;46.313989085584986;41.91361639824304;214.1337015839212;papa
20192;No Aplica;52.54470819203998;50.09245047296091;54.054435124040694;50.101909691236834;256.07014099589503;papa
20192;No sabe;52.092507293106095;50.48514509442653;53.49097957930293;49.849224627667745;253.54080300936587;papa
20192;Postgrado;64.16550868486352;66.6409429280397;63.34143920595533;61.061786600496276;313.0713399503722;papa
20192;Primaria completa;49.35902769662265;45.65494916442678;50.56171555451677;46.920018698141874;238.2127381091504;papa
20192;Primaria incompleta;47.95238753281994;44.20519842715544;49.61817062599716;45.87034082486401;232.70936294770166;papa
20192;Secundaria (Bachillerato) completa;51.90564035334145;49.73949912080823;53.25452861795216;49.34415415509151;251.77249222253437;papa
20192;Secundaria (Bachillerato) incompleta;50.34400776322174;47.60870243293824;51.70811672558398;47.83135787065918;243.5743571081999;papa
20192;Técnica o tecnológica completa;55.605720885989946;54.29800244598451;56.708724011414596;52.91072156543009;270.626273950265;papa
20192;Técnica o tecnológica incompleta;53.720071805228315;52.14989341411422;55.192527768428135;50.86401884887243;261.37069449119264;papa
20201;Educación profesional completa;63.44552352048559;73.10622154779969;63.153262518968134;60.51562974203338;313.0740515933232;papa
20201;Educación profesional incompleta;62.596916299559474;69.10352422907489;62.82599118942731;59.903083700440526;308.12555066079295;papa
20201;Ninguno;44.2;47.20740740740741;47.87407407407407;42.94814814814815;224.07407407407408;papa
20201;No Aplica;59.51428571428571;63.2;59.72380952380952;56.7047619047619;292.0;papa
20201;No sabe;57.8064;62.5856;58.5904;56.0384;285.12;papa
20201;Postgrado;68.00212404418012;79.72812234494478;66.56117247238743;64.45157179269329;334.66652506372134;papa
20201;Primaria completa;49.22433460076046;48.72243346007605;51.10266159695818;46.71863117870723;242.33460076045628;papa
20201;Primaria incompleta;47.440281030444964;46.3536299765808;50.414519906323186;46.06791569086651;235.62997658079624;papa
20201;Secundaria (Bachillerato) completa;55.452124645892354;58.73654390934844;56.84022662889518;53.198300283286116;273.3467422096317;papa
20201;Secundaria (Bachillerato) incompleta;53.490033222591364;54.98338870431893;54.679401993355484;51.27242524916944;262.3504983388704;papa
20201;Técnica o tecnológica completa;58.99876237623762;63.102722772277225;59.87747524752475;56.62871287128713;290.70915841584156;papa
20201;Técnica o tecnológica incompleta;56.08;58.36;57.537142857142854;53.13142857142857;274.69142857142856;papa
20202;Educación profesional completa;56.93607913762953;54.608540182183596;57.25116801085793;53.819826168663376;277.8192780518362;papa
20202;Educación profesional incompleta;56.032859894077994;52.689576311988446;56.85748675974964;53.009027443428025;273.9393355801637;papa
20202;Ninguno;44.49951041190678;41.00339447744631;46.72576538938573;42.33376852274953;218.74352111756642;papa
20202;No Aplica;52.325990491283676;47.98637083993661;53.60459587955626;49.58082408874802;255.38082408874803;papa
20202;No sabe;52.26327935055837;48.74071784728232;53.26867762805456;49.57481353278114;254.62467548522685;papa
20202;Postgrado;63.178901373283395;63.019101123595505;62.040699126092385;59.808863920099874;308.77503121098624;papa
20202;Primaria completa;49.52973361335249;44.43390074057699;50.401735381894554;46.68271250138167;239.48640433292803;papa
20202;Primaria incompleta;48.22044764054966;43.43677007553586;49.6902472336037;45.76300972768069;234.82419098586837;papa
20202;Secundaria (Bachillerato) completa;51.937496164467625;47.38010637209778;52.94154648665235;48.94382734990283;252.12766697350926;papa
