ANIO;ESTU_DEPTO_RESIDE;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
20202;PUTUMAYO;50.47411933860532;44.639108554996405;50.716031631919485;47.193026599568654;241.882099209202
20202;QUINDIO;52.41454864154251;48.4592462751972;53.671779141104295;49.58369851007888;255.70574057844
20202;RISARALDA;52.21746954595792;49.04443521594684;53.568383167220375;49.76121262458472;255.8495293466224
20202;SAN ANDRES;46.91041666666667;51.5125;50.2375;44.86666666666667;236.06458333333333
20202;SANTANDER;55.81169352679767;49.86009530438507;55.47470150452428;52.41666220485089;267.9868822616052
20202;SUCRE;49.4324473213056;44.966120369095165;50.70555019969701;47.40228618647569;240.91227103704725
20202;TOLIMA;50.336214556910896;46.23669117053074;51.61967848776153;47.93311252928346;245.58655788028116
20202;VALLE;50.68434209529581;46.732974774638286;52.452238466782816;48.06257101734717;248.08825089008408
20202;VAUPES;43.56768558951965;41.12663755458515;44.88646288209607;41.62008733624455;214.04803493449785
20202;VICHADA;49.088524590163935;42.1672131147541;49.718032786885246;44.950819672131146;233.55081967213115
Todos;AMAZONAS;45.24860022396417;44.10750279955207;47.86450167973124;44.19036954087346;224.8734602463606
Todos;ANTIOQUIA;50.58256766595092;48.164140041101824;52.90630442996562;47.67602362894085;248.15391066343506
Todos;ARAUCA;50.87466223238412;45.85179796300145;51.08937850758678;47.81209727707337;243.4111411348992
Todos;ATLANTICO;51.27184932604069;49.53431585692382;52.68700368446346;48.8328718218642;250.00684257500515
Todos;BOGOTA;63.41213389121339;70.05203974895397;62.75836820083682;60.42756276150627;311.9061192468619
Todos;BOGOTÁ;55.80293687205038;54.150148816864814;56.277654448884284;52.79704997286764;271.337806061204
Todos;BOLIVAR;47.74239019407559;45.272522982635344;49.6220049613308;45.64692835254633;233.19804465197723
Todos;BOYACA;55.06039103775404;49.6029077166326;54.23921175427095;51.59828005090432;262.6831205892561
