;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENELAVADORA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
182;Estrato 3;MAGDALENA;Si;46.547693374956644;49.62851196670135;48.157474852584116;51.655567117585846;47.34061741241762;243.72493929934097
183;Estrato 3;META;No;45.96636085626911;50.46177370030581;47.48623853211009;52.0;47.944954128440365;244.84709480122325
184;Estrato 3;META;Si;50.54962707974756;55.03184165232358;51.808663224325876;55.44262765347103;51.66265060240964;265.33419391853124
185;Estrato 3;NARIÑO;No;45.52931596091205;50.144951140065146;46.66938110749186;51.17589576547231;48.527687296416936;243.371335504886
186;Estrato 3;NARIÑO;Si;53.015995872033024;57.3328173374613;55.19969040247678;57.12022703818369;54.71155830753354;277.593395252838
187;Estrato 3;NORTE SANTANDER;No;49.33175355450237;53.132701421800945;50.22274881516588;54.07109004739336;51.00473933649289;258.7843601895735
188;Estrato 3;NORTE SANTANDER;Si;52.462455303933254;56.97258641239571;53.98331346841478;56.74890742947954;53.673818037346045;274.43384982121574
189;Estrato 3;PUTUMAYO;No;42.43650793650794;46.5;44.214285714285715;47.74603174603175;44.30952380952381;225.85714285714286
190;Estrato 3;PUTUMAYO;Si;48.31517509727627;53.13618677042802;48.10894941634241;53.36964980544747;49.80544747081712;254.61867704280155
191;Estrato 3;QUINDIO;No;46.151162790697676;50.145348837209305;47.05232558139535;52.343023255813954;47.48837209302326;244.3953488372093
192;Estrato 3;QUINDIO;Si;51.42061143984221;54.900887573964496;53.31706114398422;55.87721893491124;52.06410256410256;267.7322485207101
193;Estrato 3;RISARALDA;No;48.70418006430868;51.67524115755627;49.41479099678457;54.11897106109325;49.20257234726688;254.06430868167203
194;Estrato 3;RISARALDA;Si;50.5663309352518;53.99625899280576;52.53208633093525;55.151942446043165;51.27165467625899;263.6515107913669
195;Estrato 3;SAN ANDRES;No;48.333333333333336;58.333333333333336;54.333333333333336;55.666666666666664;52.0;268.0
196;Estrato 3;SAN ANDRES;Si;47.3109243697479;49.89495798319328;55.34033613445378;53.05042016806723;47.205882352941174;249.15126050420167
197;Estrato 3;SANTANDER;No;49.73211963589077;54.01040312093628;49.93628088426528;54.93237971391417;51.18855656697009;261.36801040312093
198;Estrato 3;SANTANDER;Si;53.578258547008545;58.186698717948715;54.527110042735046;57.8838141025641;54.93042200854701;280.1034989316239
199;Estrato 3;SUCRE;No;41.69945355191257;46.39344262295082;44.63934426229508;48.060109289617486;45.26775956284153;226.50273224043715
200;Estrato 3;SUCRE;Si;45.53644859813084;49.54766355140187;47.43551401869159;50.978504672897195;47.819626168224296;241.96542056074767
201;Estrato 3;TOLIMA;No;44.97125256673511;48.42094455852156;45.837782340862425;50.08624229979466;46.10266940451746;236.37577002053388
202;Estrato 3;TOLIMA;Si;50.642613636363635;54.13011363636364;52.50681818181818;55.18636363636364;51.40056818181818;264.07443181818184
203;Estrato 3;VALLE;No;47.145969498910674;50.131808278867105;48.25653594771242;52.48692810457516;48.058278867102395;246.8044662309368
